game,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
39,vp-hybrid,B,2,1000,resigned,W,129,0,0,1
40,vp-hybrid,B,2,1000,resigned,B,96,0,1,0
41,vp-hybrid,B,2,1000,resigned,W,89,0,0,1
42,vp-hybrid,B,2,1000,resigned,B,184,0,1,0
43,vp-hybrid,B,2,1000,resigned,B,716,0,1,0
44,vp-hybrid,B,2,1000,resigned,W,67,0,0,1
45,vp-hybrid,B,2,1000,resigned,W,53,0,0,1
46,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
47,vp-hybrid,B,2,1000,resigned,B,114,0,1,0
48,vp-hybrid,B,2,1000,resigned,W,131,0,0,1
49,vp-hybrid,B,2,1000,resigned,B,230,0,1,0
50,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
51,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
52,vp-hybrid,W,2,1000,resigned,W,229,0,1,0
53,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
54,vp-hybrid,W,2,1000,resigned,W,87,0,1,0
55,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
56,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
57,vp-hybrid,W,2,1000,resigned,W,613,0,1,0
58,vp-hybrid,W,2,1000,resigned,W,521,0,1,0
59,vp-hybrid,W,2,1000,resigned,W,359,0,1,0
60,vp-hybrid,W,2,1000,resigned,W,329,0,1,0
61,vp-hybrid,W,2,1000,resigned,W,303,0,1,0
62,vp-hybrid,W,2,1000,resigned,W,79,0,1,0
63,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
64,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
65,vp-hybrid,W,2,1000,resigned,W,639,0,1,0
66,vp-hybrid,W,2,1000,resigned,B,114,0,0,1
67,vp-hybrid,W,2,1000,resigned,W,139,0,1,0
68,vp-hybrid,W,2,1000,resigned,W,277,0,1,0
69,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
70,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
71,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
72,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
73,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
74,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
75,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
76,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
77,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
78,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
79,vp-hybrid,W,2,1000,resigned,W,319,0,1,0
80,vp-hybrid,W,2,1000,draw,-,280,0,0,0
81,vp-hybrid,W,2,1000,resigned,W,49,0,1,0
82,vp-hybrid,W,2,1000,resigned,W,497,0,1,0
83,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
84,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
85,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
86,vp-hybrid,W,2,1000,resigned,B,368,0,0,1
87,vp-hybrid,W,2,1000,resigned,W,415,0,1,0
88,vp-hybrid,W,2,1000,resigned,W,523,0,1,0
89,vp-hybrid,W,2,1000,resigned,W,127,0,1,0
90,vp-hybrid,W,2,1000,resigned,W,155,0,1,0
91,vp-hybrid,W,2,1000,resigned,W,391,0,1,0
92,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
93,vp-hybrid,W,2,1000,draw,-,506,0,0,0
94,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
95,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
96,vp-hybrid,W,2,1000,resigned,W,397,0,1,0
97,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
98,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
99,vp-hybrid,W,2,1000,resigned,W,349,0,1,0
100,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
